Atleta,Fecha,Distancia_km,Sprint_m,Carga_Diaria,Carga_Aguda,Carga_Cronica,ACWR,Zona_Riesgo
Atleta_01,2026-03-01,8.39,123.4,377.23,377.23,377.23,1.0,Zona Optima
Atleta_01,2026-03-02,6.14,818.9,493.76,435.5,435.5,1.0,Zona Optima
Atleta_01,2026-03-03,5.14,546.1,372.05,414.35,414.35,1.0,Zona Optima
Atleta_01,2026-03-04,11.76,287.3,553.81,449.21,449.21,1.0,Zona Optima
Atleta_01,2026-03-05,8.67,686.6,553.83,470.14,470.14,1.0,Zona Optima
Atleta_01,2026-03-06,3.93,211.3,230.55,430.2,430.2,1.0,Zona Optima
Atleta_01,2026-03-07,12.01,519.1,637.66,459.84,459.84,1.0,Zona Optima
Atleta_01,2026-03-08,11.32,750.0,686.16,503.97,488.13,1.03,Zona Optima
Atleta_01,2026-03-09,6.57,866.5,523.54,508.23,492.07,1.03,Zona Optima
Atleta_01,2026-03-10,8.11,842.1,578.12,537.67,500.67,1.07,Zona Optima
Atleta_01,2026-03-11,4.4,664.5,503.99,530.55,500.97,1.06,Zona Optima
Atleta_01,2026-03-12,9.26,232.6,436.46,513.78,495.6,1.04,Zona Optima
Atleta_01,2026-03-13,7.68,647.7,496.65,551.8,495.68,1.11,Zona Optima
Atleta_01,2026-03-14,7.79,211.4,375.98,514.41,487.13,1.06,Zona Optima
Atleta_01,2026-03-15,5.04,456.1,456.74,481.64,485.1,0.99,Zona Optima
Atleta_01,2026-03-16,7.46,612.8,485.34,476.18,485.12,0.98,Zona Optima
Atleta_01,2026-03-17,4.52,141.6,226.13,425.9,469.88,0.91,Zona Optima
Atleta_01,2026-03-18,9.08,441.8,501.05,425.48,471.61,0.9,Zona Optima
Atleta_01,2026-03-19,5.3,631.0,399.58,420.21,467.82,0.9,Zona Optima
Atleta_01,2026-03-20,10.22,653.0,605.79,435.8,474.72,0.92,Zona Optima
Atleta_01,2026-03-21,7.76,884.6,570.81,463.63,479.3,0.97,Zona Optima
Atleta_01,2026-03-22,3.93,827.2,401.61,455.76,475.77,0.96,Zona Optima
Atleta_01,2026-03-23,8.7,607.7,535.26,462.89,478.35,0.97,Zona Optima
Atleta_01,2026-03-24,9.59,643.4,565.77,511.41,481.99,1.06,Zona Optima
Atleta_01,2026-03-25,6.44,432.0,386.49,495.04,478.17,1.04,Zona Optima
Atleta_01,2026-03-26,9.78,835.2,644.32,530.01,484.56,1.09,Zona Optima
Atleta_01,2026-03-27,6.84,858.0,534.17,519.78,486.4,1.07,Zona Optima
Atleta_01,2026-03-28,10.01,417.8,523.22,512.98,487.72,1.05,Zona Optima
Atleta_01,2026-03-29,9.6,780.1,608.32,542.51,495.97,1.09,Zona Optima
Atleta_01,2026-03-30,5.57,625.8,406.0,524.04,492.84,1.06,Zona Optima
Atleta_01,2026-03-31,9.14,391.7,483.16,512.24,496.8,1.03,Zona Optima
Atleta_01,2026-04-01,8.31,160.6,511.64,530.12,495.3,1.07,Zona Optima
Atleta_01,2026-04-02,4.46,603.6,362.8,489.9,488.48,1.0,Zona Optima
Atleta_01,2026-04-03,9.46,314.5,639.8,504.99,503.09,1.0,Zona Optima
Atleta_01,2026-04-04,8.47,389.7,619.01,518.68,502.43,1.03,Zona Optima
Atleta_01,2026-04-05,3.91,812.0,396.3,488.39,492.07,0.99,Zona Optima
Atleta_01,2026-04-06,8.48,832.6,798.48,544.46,501.89,1.08,Zona Optima
Atleta_01,2026-04-07,8.19,312.9,421.55,535.65,496.3,1.08,Zona Optima
Atleta_01,2026-04-08,7.47,607.8,484.86,531.83,495.62,1.07,Zona Optima
Atleta_01,2026-04-09,10.35,805.2,651.17,573.02,503.29,1.14,Zona Optima
Atleta_01,2026-04-10,8.72,168.8,400.69,538.87,499.86,1.08,Zona Optima
Atleta_01,2026-04-11,11.13,655.1,867.11,574.31,517.4,1.11,Zona Optima
Atleta_01,2026-04-12,7.0,231.2,350.9,567.82,513.62,1.11,Zona Optima
